Time,I0,mu,Conc,N,P,CO2,dCO2,dN,dP,yield,cumulative_yield,Monod_N,Monod_P,Monod_CO2
16.375,565.6854249492424,0.0,0.48394089593947265,0.012125477548744065,0.0012812220121714679,-0.0002358887647272223,-0.10023588876472717,-0.0878745224512559,-0.008718777987828536,0.004559335493373228,1.5766426693152373,0.9975549554105707,0.992327126777494,0.0
16.416666666666664,692.820323027546,0.0,0.4794241142440376,0.012012306424955786,0.0012692639400578676,-0.00023368713625643487,-0.10023368713625638,-0.08798769357504417,-0.008730736059942136,0.004516781695435078,1.5811594510106723,0.9975319768491449,0.992255398447566,0.0
16.458333333333332,772.7406610312538,0.0,0.4749494891777599,0.011900191564989532,0.0012574174766173275,-0.0002315060563180415,-0.10023150605631799,-0.08809980843501042,-0.008742582523382676,0.004474625066277684,1.58563407607695,0.9975087828741984,0.9921830048617272,0.0
16.5,800.0,0.0,0.4705166272787675,0.011789123110382963,0.001245681580168899,-0.00022934533312573977,-0.10022934533312569,-0.08821087688961698,-0.008754318419831104,0.004432861898992425,1.5900669379759425,0.9974853714765118,0.9921099399491559,0.0
16.541666666666664,772.7406610312547,0.0,0.466125138757499,0.011679091294686056,0.0012340552187539893,-0.00022720477668323287,-0.10022720477668318,-0.0883209087053139,-0.008765944781246014,0.004391488521268496,1.594458426497211,0.9974617406283174,0.9920361975854938,0.0
16.583333333333332,692.8203230275534,0.0,0.461774637462429,0.01157008644260232,0.0012225373700456188,-0.0002250841987675227,-0.10022508419876747,-0.08842991355739763,-0.008777462629954384,0.004350501295069991,1.598808927792281,0.9974378882831313,0.9919617715924091,0.0
16.625,565.6854249492368,0.0,0.45746474084611305,0.01146209896913803,0.0012111270212585264,-0.00022298341291235915,-0.1002229834129123,-0.08853790103086193,-0.008788872978741476,0.004309896616316004,1.603118824408597,0.9974138123755851,0.9918866557371564,0.0
16.666666666666664,400.0000000000123,0.0,0.45319506993154934,0.01135511937875941,0.0011998231690601134,-0.0002209022343918438,-0.1002209022343918,-0.08864488062124054,-0.00880017683093989,0.004269670914563721,1.6073884953231607,0.997389510821255,0.9918108437321338,0.0
16.708333333333332,207.0552360820236,0.0,0.4489652492788549,0.011249138264557656,0.001188624819482219,-0.0002188404802041866,-0.10021884048020413,-0.08875086173544229,-0.008811375180517785,0.0042298206526944606,1.6116183159758553,0.9973649815164899,0.9917343292344378,0.0
16.75,3.9089660670861166e-13,0.0,0.44477490695225225,0.011144146307421785,0.0011775309878337182,-0.00021679796905561417,-0.10021679796905557,-0.08885585369257816,-0.008822469012166285,0.004190342326602646,1.6158086583024578,0.9973402223382376,0.9916571058454139,0.0
16.791666666666664,-207.05523608201187,-0.0,0.44062367448736456,0.01104013427521918,0.0011665406986139369,-0.00021477452134442844,-0.10021477452134438,-0.08895986572478078,-0.008833459301386067,0.004151232464887687,1.6199598907673454,0.9973152311438706,0.9915791671102058,0.0
16.833333333333332,-400.0000000000017,-0.0,0.43651118685881585,0.010937093021983802,0.0011556529854268734,-0.00021276995914521377,-0.10021276995914516,-0.08906290697801617,-0.00884434701457313,0.004112487628548735,1.6240723783958941,0.9972900057710089,0.9915005065173004,0.0
16.875,-565.6854249492362,-0.0,0.43243708244813356,0.010835013487111952,0.0011448668908962227,-0.00021078410619319177,-0.10021078410619315,-0.08916498651288801,-0.008855133109103781,0.004074104410682281,1.6281464828065764,0.9972645440373429,0.9914211174980709,0.0
16.916666666666664,-692.8203230275531,-0.0,0.428401003011951,0.010733886694565575,0.0011341814665811914,-0.00020881678786872197,-0.10020881678786867,-0.0892661133054344,-0.008865818533418812,0.004036079436182579,1.632182562242759,0.9972388437404531,0.9913409934263163,0.0
16.958333333333332,-772.7406610312516,-0.0,0.42440259365050614,0.010633703752082963,0.0011235957728931002,-0.00020686783118194723,-0.10020686783118189,-0.089366296247917,-0.008876404227106904,0.003998409361444875,1.636180971604204,0.9972129026576295,0.9912601276177982,0.0
17.0,-800.0,-0.0,0.4204415027764348,0.010534455850396855,0.0011131088790127647,-0.0002049370647575824,-0.10020493706475753,-0.0894655441496031,-0.008886891120987239,0.00396109087407139,1.6401420624782754,0.9971867185456891,0.9911785133297749,0.0
17.041666666666664,-772.7406610312571,-0.0,0.4165173820838547,0.010436134262459817,0.0011027198628086455,-0.00020302431881984495,-0.10020302431881979,-0.08956386573754013,-0.008897280137191358,0.003924120692580057,1.6440661831708554,0.9971602891407915,0.9910961437605317,0.0
17.083333333333332,-692.8203230275521,-0.0,0.41262988651773874,0.01033873034267686,0.0010924278107557648,-0.0002011294251775264,-0.10020112942517748,-0.08966126965732309,-0.008907572189244239,0.003887495566115977,1.6479536787369713,0.9971336121582536,0.9910130120489098,0.0
17.125,-565.6854249492428,-0.0,0.40877867424357317,0.01024223552614521,0.0010822318178553777,-0.00019925221720920282,-0.10019925221720916,-0.08975776447385474,-0.008917768182144625,0.0038512122741655615,1.651804891011137,0.9971066852923619,0.9909291112738307,0.0
17.166666666666664,-400.0,-0.0,0.4049634066172998,0.010146641327901188,0.0010721309875553941,-0.00019739252984858358,-0.10019739252984854,-0.08985335867209876,-0.00892786901244461,0.00381526762627335,1.6556201586374102,0.997079506216184,0.9908444344538184,0.0
17.208333333333332,-207.05523608200997,-0.0,0.4011837481555383,0.010051939342174111,0.0010621244316715438,-0.0001955501995699968,-0.10019555019956995,-0.08994806065782585,-0.00893787556832846,0.0037796584617614645,1.6593998170991717,0.9970520725813781,0.990758974546519,0.0
17.25,-9.015381179761602e-12,-0.0,0.39743936650608663,0.009958121241647152,0.001052211270309276,-0.00019372506437401017,-0.10019372506437396,-0.09004187875835282,-0.008947788729690728,0.003744381649451691,1.6631441987486235,0.9970243820180006,0.9906727244482163,0.0
17.291666666666664,207.05523608201455,0.0,0.39372993241869647,0.009865178776725112,0.0010423906317863895,-0.00019191696377318608,-0.10019191696377314,-0.09013482122327485,-0.008957609368213614,0.0037094340873901417,1.6668536328360137,0.9969964321343127,0.9905856769933458,0.0
17.333333333333332,399.9999999999942,0.0,0.39005511971612195,0.00977310377480901,0.001032661652556383,-0.00019012573877796968,-0.10019012573877792,-0.09022689622519095,-0.00896733834744362,0.0036748127025745003,1.6705284455385883,0.9969682205165848,0.9904978249540045,0.0
17.375,565.6854249492382,0.0,0.38641460526543814,0.00968188813957746,0.0010230234771325235,-0.00018835123188270863,-0.10018835123188266,-0.0903181118604225,-0.00897697652286748,0.0036405144506838046,1.674168959989272,0.9969397447288999,0.9904091610394588,0.0
17.416666666666664,692.8203230275487,0.0,0.3828080689496274,0.009591523850274737,0.00101347525801262,-0.00018659328705180334,-0.10018659328705175,-0.09040847614972522,-0.008986524741987384,0.0036065363158107556,1.6777754963050826,0.9969110023129544,0.9903196778956485,0.0
17.458333333333332,772.7406610312553,0.0,0.37923519363943087,0.009502002961005507,0.001004016155604502,-0.0001848517497059865,-0.10018485174970594,-0.09049799703899444,-0.008995983844395502,0.0035728753101965218,1.681348371615279,0.996881990787858,0.9902293681046888,0.0
17.5,800.0,0.0,0.3756956651654628,0.009413317600036122,0.0009946453381521935,-0.00018312646670873064,-0.10018312646670868,-0.09058668239996383,-0.00900535466184781,0.0035395284739680216,1.6848879000892472,0.9968527076499317,0.9901382241843686,0.0
17.541666666666664,772.7406610312563,0.0,0.3721891722905852,0.009325459969102452,0.000985361981662773,-0.00018141728635278248,-0.10018141728635273,-0.09067454003089749,-0.00901463801833723,0.003506492874877653,1.6883943929641247,0.996823150372504,0.9900462385876466,0.0
17.583333333333332,692.8203230275507,0.0,0.3687154066825397,0.009238422342724163,0.0009761652698339204,-0.00017972405834682317,-0.10017972405834677,-0.09076157765727577,-0.009023834730166082,0.003473765608045462,1.6918681585721702,0.9967933164057055,0.9899534037021438,0.0
17.625,565.6854249492409,0.0,0.365274062886836,0.009152197067525404,0.0009670543939821371,-0.00017804663380225282,-0.1001780466338022,-0.09084780293247453,-0.009032945606017865,0.003441343795703704,1.695309502367874,0.9967632031762611,0.9898597118496334,0.0
